Publisher Name,URL,Brand Search Volume,Domain Type,Classifier-A1
CBRE,cbre.com/,"90,500",Content Focused (CF),Local Publication (LP)
Charlotte Observer,charlotteobserver.com/,"90,500",Content Focused (CF),Local Publication (LP)
Daily Herald,dailyherald.com/,"90,500",Content Focused (CF),Local Publication (LP)
KPTV,kptv.com/,"90,500",Content Focused (CF),Local Publication (LP)
New Haven Register,nhregister.com/,"90,500",Content Focused (CF),Local Publication (LP)
The Hartford,thehartford.com/,"90,500",Content Focused (CF),Local Publication (LP)
WIBW,wibw.com/,"90,500",Content Focused (CF),Local Publication (LP)
KBTX,kbtx.com/,"74,000",Content Focused (CF),Local Publication (LP)
KTVU,ktvu.com/,"74,000",Content Focused (CF),Local Publication (LP)
WALB,walb.com/,"74,000",Content Focused (CF),Local Publication (LP)
WANE,wane.com/,"74,000",Content Focused (CF),Local Publication (LP)
WECT,wect.com/,"74,000",Content Focused (CF),Local Publication (LP)
WJHL,wjhl.com/,"74,000",Content Focused (CF),Local Publication (LP)
WLOX,wlox.com/,"74,000",Content Focused (CF),Local Publication (LP)
WTOC,wtoc.com/,"74,000",Content Focused (CF),Local Publication (LP)
WWMT,wwmt.com/,"74,000",Content Focused (CF),Local Publication (LP)
Bismarck Tribune,bismarcktribune.com/,"74,000",Content Focused (CF),Local Publication (LP)
KFOR,kfor.com/,"74,000",Content Focused (CF),Local Publication (LP)
Madison,madison.com/,"74,000",Content Focused (CF),Local Publication (LP)
Post Star,poststar.com/,"74,000",Content Focused (CF),Local Publication (LP)
Turn to 10,turnto10.com/,"74,000",Content Focused (CF),Local Publication (LP)
WCYB,wcyb.com/,"74,000",Content Focused (CF),Local Publication (LP)
WREG,wreg.com/,"74,000",Content Focused (CF),Local Publication (LP)
WSBT,wsbt.com/,"74,000",Content Focused (CF),Local Publication (LP)
WWMT,wwmt.com/,"74,000",Content Focused (CF),Local Publication (LP)
Chron,chron.com/,"74,000",Content Focused (CF),Local Publication (LP)
KIRO 7,kiro7.com/,"74,000",Content Focused (CF),Local Publication (LP)
KVUE,kvue.com/,"74,000",Content Focused (CF),Local Publication (LP)
KWCH,kwch.com/,"74,000",Content Focused (CF),Local Publication (LP)
Orlando Sentinel,orlandosentinel.com/,"74,000",Content Focused (CF),Local Publication (LP)
Red Herring,redherring.com/,"74,000",Content Focused (CF),Local Publication (LP)
Stamford Advocate,stamfordadvocate.com/,"74,000",Content Focused (CF),Local Publication (LP)
The State,thestate.com/,"74,000",Content Focused (CF),Local Publication (LP)
WANE,wane.com/,"74,000",Content Focused (CF),Local Publication (LP)
WATE,wate.com/,"74,000",Content Focused (CF),Local Publication (LP)
WJHL,wjhl.com/,"74,000",Content Focused (CF),Local Publication (LP)
WSPA,wspa.com/,"74,000",Content Focused (CF),Local Publication (LP)
WXII,wxii12.com/,"74,000",Content Focused (CF),Local Publication (LP)
Turn to 10,turnto10.com,"74,000",Content Focused (CF),Local Publication (LP)
Gaston Gazette,gastongazette.com/,"60,500",Content Focused (CF),Local Publication (LP)
KLFY,klfy.com/,"60,500",Content Focused (CF),Local Publication (LP)
KSBW,ksbw.com/,"60,500",Content Focused (CF),Local Publication (LP)
KSBY,ksby.com/,"60,500",Content Focused (CF),Local Publication (LP)
KWQC,kwqc.com/,"60,500",Content Focused (CF),Local Publication (LP)
King 5 News,nwcn.com/,"60,500",Content Focused (CF),Local Publication (LP)
WAFF,waff.com/,"60,500",Content Focused (CF),Local Publication (LP)
WBAL,wbal.com/,"60,500",Content Focused (CF),Local Publication (LP)
WBNG,wbng.com/,"60,500",Content Focused (CF),Local Publication (LP)
WBOC,wboc.com/,"60,500",Content Focused (CF),Local Publication (LP)
WFMJ,wfmj.com/,"60,500",Content Focused (CF),Local Publication (LP)
WHEC,whec.com,"60,500",Content Focused (CF),Local Publication (LP)
WLFI,wlfi.com/,"60,500",Content Focused (CF),Local Publication (LP)
WTOL,wtol.com/,"60,500",Content Focused (CF),Local Publication (LP)
ABC 7 Chicago,abc7chicago.com/,"60,500",Content Focused (CF),Local Publication (LP)
KDVR,kdvr.com/,"60,500",Content Focused (CF),Local Publication (LP)
KTTC,kttc.com/,"60,500",Content Focused (CF),Local Publication (LP)
WHO TV,whotv.com/,"60,500",Content Focused (CF),Local Publication (LP)
WTVR,wtvr.com/,"60,500",Content Focused (CF),Local Publication (LP)
Berkshire Eagle,berkshireeagle.com/,"60,500",Content Focused (CF),Local Publication (LP)
BND,bnd.com/,"60,500",Content Focused (CF),Local Publication (LP)
Fox Carolina,foxcarolina.com/,"60,500",Content Focused (CF),Local Publication (LP)
Greeley Tribune,greeleytribune.com/,"60,500",Content Focused (CF),Local Publication (LP)
Idaho Statesman,idahostatesman.com/,"60,500",Content Focused (CF),Local Publication (LP)
KENS 5,kens5.com/,"60,500",Content Focused (CF),Local Publication (LP)
KLFY,klfy.com/,"60,500",Content Focused (CF),Local Publication (LP)
KMBC,kmbc.com/,"60,500",Content Focused (CF),Local Publication (LP)
KRQE,krqe.com/,"60,500",Content Focused (CF),Local Publication (LP)
KTVZ,ktvz.com/,"60,500",Content Focused (CF),Local Publication (LP)
KWQC,kwqc.com/,"60,500",Content Focused (CF),Local Publication (LP)
Times Leader,timesleader.com/,"60,500",Content Focused (CF),Local Publication (LP)
WHSV,whsv.com/,"60,500",Content Focused (CF),Local Publication (LP)
WRDW,wrdw.com/,"60,500",Content Focused (CF),Local Publication (LP)
WSMV,wsmv.com/,"60,500",Content Focused (CF),Local Publication (LP)
Brainerd Dispatch,brainerddispatch.com/,"49,500",Content Focused (CF),Local Publication (LP)
Daily Press,dailypress.com/,"49,500",Content Focused (CF),Local Publication (LP)
Johnson City Press,johnsoncitypress.com/,"49,500",Content Focused (CF),Local Publication (LP)
KAKE,kake.com/,"49,500",Content Focused (CF),Local Publication (LP)
WDAM,wdam.com/,"49,500",Content Focused (CF),Local Publication (LP)
WKRG,wkrg.com/,"49,500",Content Focused (CF),Local Publication (LP)
WNEM,wnem.com/,"49,500",Content Focused (CF),Local Publication (LP)
WTVM,wtvm.com/,"49,500",Content Focused (CF),Local Publication (LP)
Fox 40,fox40.com/,"49,500",Content Focused (CF),Local Publication (LP)
Missoulian,missoulian.com/,"49,500",Content Focused (CF),Local Publication (LP)
Rapid City Journal,rapidcityjournal.com/,"49,500",Content Focused (CF),Local Publication (LP)
Sioux City Journal,siouxcityjournal.com/,"49,500",Content Focused (CF),Local Publication (LP)
Splinter,splinternews.com/,"49,500",Content Focused (CF),Local Publication (LP)
WGME,wgme.com/,"49,500",Content Focused (CF),Local Publication (LP)
WNYT,wnyt.com/,"49,500",Content Focused (CF),Local Publication (LP)
WPDE,wpde.com/,"49,500",Content Focused (CF),Local Publication (LP)
WQAD,wqad.com/,"49,500",Content Focused (CF),Local Publication (LP)
WTKR,wtkr.com/,"49,500",Content Focused (CF),Local Publication (LP)
KOCO,koco.com/,"49,500",Content Focused (CF),Local Publication (LP)
NBC Chicago,nbcchicago.com/,"49,500",Content Focused (CF),Local Publication (LP)
Pantagraph,pantagraph.com/,"49,500",Content Focused (CF),Local Publication (LP)
Press Enterprise,pe.com/,"49,500",Content Focused (CF),Local Publication (LP)
SF Chronicle,sfchronicle.com/,"49,500",Content Focused (CF),Local Publication (LP)
The Day,theday.com/,"49,500",Content Focused (CF),Local Publication (LP)
Ventura County Star,vcstar.com/,"49,500",Content Focused (CF),Local Publication (LP)
WBKO,wbko.com/,"49,500",Content Focused (CF),Local Publication (LP)
WDSU,wdsu.com/,"49,500",Content Focused (CF),Local Publication (LP)
WKBW,wkbw.com/,"49,500",Content Focused (CF),Local Publication (LP)
WKRG,wkrg.com/,"49,500",Content Focused (CF),Local Publication (LP)
WNEM,wnem.com/,"49,500",Content Focused (CF),Local Publication (LP)
WTVA,wtva.com/,"49,500",Content Focused (CF),Local Publication (LP)
WJON,wjon.com/,"40,500",Content Focused (CF),Local Publication (LP)
14 News,14news.com/,"40,500",Content Focused (CF),Local Publication (LP)
ABC 7,abc-7.com/,"40,500",Content Focused (CF),Local Publication (LP)
ABC 6,abc6.com/,"40,500",Content Focused (CF),Local Publication (LP)
Carroll County Times,carrollcountytimes.com/,"40,500",Content Focused (CF),Local Publication (LP)
Erie News Now,erienewsnow.com/,"40,500",Content Focused (CF),Local Publication (LP)
Gainesville Sun,gainesville.com/,"40,500",Content Focused (CF),Local Publication (LP)
Houma Today,houmatoday.com/,"40,500",Content Focused (CF),Local Publication (LP)
KCBD,kcbd.com/,"40,500",Content Focused (CF),Local Publication (LP)
KESQ,kesq.com/,"40,500",Content Focused (CF),Local Publication (LP)
KHQ,khq.com/,"40,500",Content Focused (CF),Local Publication (LP)
KIMT,kimt.com/,"40,500",Content Focused (CF),Local Publication (LP)
